time_yr,relHum,pco2_mol,co2_ppm,Ca,temp_C,Tv
0.5,0.021352,1.48E+17,8.35E-04,835.30,22.947928,296.097928
1.5,0.021357,1.48E+17,8.36E-04,835.96,22.950056,296.100056
2.5,0.021358,1.48E+17,8.37E-04,836.61,22.951072,296.101072
3.5,0.021358,1.48E+17,8.37E-04,837.25,22.95171,296.10171
4.5,0.021359,1.48E+17,8.38E-04,837.89,22.952412,296.102412
5.5,0.02136,1.48E+17,8.39E-04,838.53,22.953403,296.103403
6.5,0.021361,1.48E+17,8.39E-04,839.17,22.954752,296.104752
7.5,0.021363,1.49E+17,8.40E-04,839.80,22.956379,296.106379
8.5,0.021364,1.49E+17,8.40E-04,840.43,22.958197,296.108197
9.5,0.021366,1.49E+17,8.41E-04,841.06,22.96016,296.11016
10.5,0.021368,1.49E+17,8.42E-04,841.69,22.962239,296.112239
11.5,0.02137,1.49E+17,8.42E-04,842.31,22.964429,296.114429
12.5,0.021373,1.49E+17,8.43E-04,842.93,22.966702,296.116702
13.5,0.021375,1.49E+17,8.44E-04,843.56,22.968964,296.118964
14.5,0.021377,1.49E+17,8.44E-04,844.17,22.971127,296.121127
15.5,0.021379,1.49E+17,8.45E-04,844.79,22.973214,296.123214
16.5,0.021381,1.50E+17,8.45E-04,845.40,22.975257,296.125257
17.5,0.021383,1.50E+17,8.46E-04,846.02,22.977305,296.127305
18.5,0.021386,1.50E+17,8.47E-04,846.63,22.979494,296.129494
19.5,0.021388,1.50E+17,8.47E-04,847.24,22.982174,296.132174
21.5,0.021393,1.50E+17,8.48E-04,848.45,22.986193,296.136193
23.5,0.021396,1.50E+17,8.50E-04,849.66,22.989334,296.139334
25.5,0.0214,1.51E+17,8.51E-04,850.86,22.992665,296.142665
27.5,0.021403,1.51E+17,8.52E-04,852.06,22.995769,296.145769
29.5,0.021406,1.51E+17,8.53E-04,853.25,22.998743,296.148743
31.5,0.02141,1.51E+17,8.54E-04,854.44,23.002874,296.152874
33.5,0.021415,1.51E+17,8.56E-04,855.62,23.007566,296.157566
35.5,0.02142,1.52E+17,8.57E-04,856.81,23.012575,296.162575
37.5,0.021425,1.52E+17,8.58E-04,857.98,23.017923,296.167923
39.5,0.021431,1.52E+17,8.59E-04,859.15,23.0233,296.1733
41.5,0.021436,1.52E+17,8.60E-04,860.32,23.028223,296.178223
43.5,0.021441,1.52E+17,8.61E-04,861.49,23.032928,296.182928
45.5,0.021446,1.53E+17,8.63E-04,862.65,23.038278,296.188278
47.5,0.021451,1.53E+17,8.64E-04,863.80,23.04283,296.19283
49.5,0.021455,1.53E+17,8.65E-04,864.95,23.046442,296.196442
51.5,0.021459,1.53E+17,8.66E-04,866.10,23.050196,296.200196
53.5,0.021463,1.53E+17,8.67E-04,867.24,23.053683,296.203683
55.5,0.021466,1.54E+17,8.68E-04,868.39,23.057034,296.207034
57.5,0.021471,1.54E+17,8.70E-04,869.53,23.061475,296.211475
59.5,0.021476,1.54E+17,8.71E-04,870.66,23.066423,296.216423
61.5,0.021481,1.54E+17,8.72E-04,871.80,23.071636,296.221636
63.5,0.021487,1.54E+17,8.73E-04,872.93,23.077127,296.227127
65.5,0.021493,1.55E+17,8.74E-04,874.06,23.082686,296.232686
67.5,0.021498,1.55E+17,8.75E-04,875.18,23.087811,296.237811
69.5,0.021503,1.55E+17,8.76E-04,876.30,23.092607,296.242607
71.5,0.021508,1.55E+17,8.77E-04,877.42,23.097539,296.247539
73.5,0.021514,1.55E+17,8.79E-04,878.53,23.102884,296.252884
75.5,0.021518,1.56E+17,8.80E-04,879.65,23.106778,296.256778
77.5,0.021522,1.56E+17,8.81E-04,880.75,23.110567,296.260567
79.5,0.021526,1.56E+17,8.82E-04,881.86,23.114062,296.264062
81.5,0.021529,1.56E+17,8.83E-04,882.96,23.117184,296.267184
83.5,0.021534,1.56E+17,8.84E-04,884.07,23.121602,296.271602
85.5,0.021539,1.57E+17,8.85E-04,885.17,23.126541,296.276541
87.5,0.021544,1.57E+17,8.86E-04,886.27,23.131716,296.281716
89.5,0.02155,1.57E+17,8.87E-04,887.36,23.137148,296.287148
91.5,0.021555,1.57E+17,8.88E-04,888.45,23.142731,296.292731
93.5,0.021561,1.57E+17,8.90E-04,889.54,23.147955,296.297955
95.5,0.021566,1.58E+17,8.91E-04,890.63,23.152772,296.302772
97.5,0.021571,1.58E+17,8.92E-04,891.72,23.15744,296.30744
99.5,0.021577,1.58E+17,8.93E-04,892.80,23.16267,296.31267
104.5,0.021588,1.58E+17,8.95E-04,895.49,23.173044,296.323044
109.5,0.021597,1.59E+17,8.98E-04,898.17,23.182109,296.332109
114.5,0.02161,1.59E+17,9.01E-04,900.85,23.194535,296.344535
119.5,0.021624,1.60E+17,9.04E-04,903.50,23.20805,296.35805
124.5,0.021637,1.60E+17,9.06E-04,906.15,23.21988,296.36988
129.5,0.02165,1.61E+17,9.09E-04,908.78,23.231962,296.381962
134.5,0.02166,1.61E+17,9.11E-04,911.40,23.241698,296.391698
139.5,0.02167,1.62E+17,9.14E-04,914.01,23.251623,296.401623
144.5,0.021684,1.62E+17,9.17E-04,916.61,23.264265,296.414265
149.5,0.021697,1.63E+17,9.19E-04,919.20,23.277343,296.427343
154.5,0.021709,1.63E+17,9.22E-04,921.77,23.288569,296.438569
159.5,0.02172,1.64E+17,9.24E-04,924.34,23.298693,296.448693
164.5,0.021732,1.64E+17,9.27E-04,926.89,23.309642,296.459642
169.5,0.021744,1.64E+17,9.29E-04,929.44,23.321466,296.471466
174.5,0.021757,1.65E+17,9.32E-04,931.98,23.33334,296.48334
179.5,0.021768,1.65E+17,9.35E-04,934.50,23.344281,296.494281
184.5,0.02178,1.66E+17,9.37E-04,937.02,23.35489,296.50489
189.5,0.021791,1.66E+17,9.40E-04,939.53,23.365853,296.515853
194.5,0.021803,1.67E+17,9.42E-04,942.03,23.377233,296.527233
199.5,0.021815,1.67E+17,9.45E-04,944.52,23.388671,296.538671
204.5,0.021827,1.68E+17,9.47E-04,947.00,23.399695,296.549695
209.5,0.021838,1.68E+17,9.49E-04,949.47,23.410453,296.560453
214.5,0.02185,1.68E+17,9.52E-04,951.93,23.421309,296.571309
219.5,0.021862,1.69E+17,9.54E-04,954.39,23.432357,296.582357
224.5,0.021873,1.69E+17,9.57E-04,956.84,23.443419,296.593419
229.5,0.021885,1.70E+17,9.59E-04,959.28,23.454169,296.604169
234.5,0.021896,1.70E+17,9.62E-04,961.71,23.464761,296.614761
239.5,0.021908,1.71E+17,9.64E-04,964.14,23.475638,296.625638
244.5,0.02192,1.71E+17,9.67E-04,966.56,23.486812,296.636812
249.5,0.021931,1.71E+17,9.69E-04,968.97,23.497608,296.647608
254.5,0.021943,1.72E+17,9.71E-04,971.38,23.508266,296.658266
259.5,0.021954,1.72E+17,9.74E-04,973.78,23.518892,296.668892
264.5,0.021965,1.73E+17,9.76E-04,976.17,23.529507,296.679507
269.5,0.021977,1.73E+17,9.79E-04,978.56,23.540117,296.690117
274.5,0.021988,1.74E+17,9.81E-04,980.94,23.550954,296.700954
